iter	Passed	Remaining
0	61	61373
1	62	31035
2	62	20859
3	63	15738
4	63	12709
5	64	10695
6	64	9212
7	65	8111
8	65	7252
9	66	6602
10	67	6042
11	67	5577
12	68	5174
13	68	4833
14	69	4535
15	69	4272
16	69	4040
17	70	3841
18	70	3657
19	71	3489
20	71	3341
21	72	3205
22	72	3084
23	73	2971
24	73	2878
25	74	2782
26	74	2695
27	75	2616
28	76	2550
29	76	2480
30	77	2417
31	78	2359
32	78	2301
33	79	2244
34	79	2194
35	80	2143
36	80	2100
37	81	2051
38	81	2008
39	81	1966
40	82	1927
41	82	1889
42	83	1857
43	83	1824
44	84	1795
45	85	1767
46	85	1737
47	86	1708
48	86	1678
49	86	1652
50	87	1627
51	87	1604
52	88	1580
53	88	1557
54	89	1536
55	89	1515
56	90	1495
57	90	1475
58	91	1458
59	91	1440
60	92	1420
61	93	1413
62	93	1397
63	94	1381
64	94	1365
65	95	1352
66	95	1336
67	96	1322
68	97	1309
69	97	1296
70	98	1282
71	98	1269
72	98	1257
73	99	1243
74	99	1230
75	100	1221
76	101	1211
77	101	1200
78	102	1192
79	102	1181
80	103	1170
81	103	1160
82	103	1146
83	104	1139
84	104	1129
85	105	1120
86	105	1111
87	106	1101
88	106	1094
89	107	1084
90	107	1076
91	108	1069
92	108	1062
93	109	1054
94	109	1045
95	110	1039
96	110	1032
97	111	1026
98	112	1019
99	112	1012
100	113	1007
101	113	999
102	114	993
103	114	987
104	114	980
105	115	974
106	116	969
107	116	962
108	117	957
109	117	952
110	118	946
111	118	940
112	119	934
113	119	930
114	120	925
115	120	921
116	121	915
117	121	910
118	123	911
119	123	907
120	124	902
121	124	896
122	125	891
123	125	886
124	126	883
125	126	878
126	127	876
127	128	872
128	128	867
129	129	863
130	129	859
131	130	856
132	130	851
133	130	846
134	131	842
135	131	838
136	132	834
137	133	831
138	133	827
139	134	824
140	134	821
141	135	818
142	135	813
143	136	809
144	136	805
145	137	802
146	137	798
147	138	795
148	138	791
149	139	788
150	139	785
151	140	781
152	140	777
153	140	773
154	141	770
155	141	766
156	142	763
157	142	760
158	143	757
159	143	753
160	143	750
161	144	747
162	144	744
163	145	741
164	145	738
165	146	735
166	146	731
167	147	728
168	147	725
169	148	722
170	148	720
171	148	717
172	149	714
173	149	711
174	150	708
175	150	705
176	151	703
177	151	700
178	152	697
179	152	695
180	153	692
181	153	690
182	153	687
183	154	684
184	154	682
185	155	679
186	155	677
187	156	674
188	156	671
189	156	669
190	157	666
191	157	664
192	158	662
193	158	658
194	158	656
195	159	653
196	159	651
197	160	648
198	160	646
199	161	644
200	161	642
201	161	639
202	162	637
203	163	636
204	163	633
205	163	631
206	164	629
207	164	627
208	165	624
209	165	622
210	165	620
211	166	618
212	167	617
213	167	615
214	168	613
215	168	612
216	169	610
217	169	608
218	169	606
219	170	604
220	170	602
221	171	600
222	171	599
223	172	597
224	172	595
225	173	593
226	173	592
227	174	590
228	174	588
229	175	586
230	175	584
231	176	583
232	176	581
233	177	579
234	177	578
235	178	576
236	178	574
237	178	572
238	179	570
239	179	569
240	180	568
241	180	566
242	181	565
243	181	563
244	182	561
245	182	560
246	183	558
247	183	556
248	184	555
249	184	553
250	184	551
251	185	550
252	185	548
253	186	546
254	186	545
255	187	543
256	187	541
257	187	540
258	188	539
259	188	537
260	189	535
261	189	534
262	190	532
263	190	531
264	191	529
265	191	528
266	191	526
267	192	525
268	192	523
269	193	522
270	193	520
271	193	518
272	194	517
273	194	515
274	195	514
275	195	513
276	196	511
277	196	510
278	196	509
279	197	507
280	197	506
281	198	505
282	198	503
283	199	502
284	199	500
285	200	499
286	200	498
287	200	496
288	201	495
289	202	494
290	202	493
291	202	492
292	203	490
293	203	489
294	204	487
295	204	486
296	205	485
297	205	484
298	205	482
299	206	481
300	206	480
301	207	478
302	207	477
303	208	478
304	209	476
305	209	475
306	210	475
307	211	474
308	211	473
309	212	472
310	212	471
311	213	469
312	213	468
313	213	467
314	214	466
315	214	464
316	215	463
317	215	462
318	216	461
319	216	459
320	216	458
321	217	457
322	217	456
323	218	455
324	218	454
325	219	453
326	219	452
327	220	451
328	220	450
329	221	449
330	221	448
331	222	447
332	222	445
333	222	444
334	223	443
335	223	442
336	224	441
337	224	440
338	225	439
339	225	438
340	226	437
341	226	436
342	227	435
343	227	434
344	228	433
345	228	432
346	229	430
347	229	430
348	229	428
349	230	427
350	230	427
351	231	426
352	231	424
353	232	424
354	232	423
355	233	422
356	233	421
357	234	420
358	234	418
359	235	417
360	235	417
361	236	415
362	236	415
